Id,Model,Price,Age_08_04,KM,HP,CC,Doors,Cylinders,Quarterly_Tax,Weight,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Parking_Assistant,Tow_Bar
360,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,33,24650,110,1600,3,4,85,1055,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
361,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12750,43,24553,110,1600,5,4,85,1080,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0
362,TOYOTA Corolla 1.6 VVTi Terra Comfort 4/5-Doors,14350,41,24475,110,1600,5,4,69,1030,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
363,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,39,24444,110,1600,3,4,69,1040,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
364,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,35,24011,97,1400,3,4,69,1025,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
365,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,24000,97,1400,3,4,69,1025,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
366,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,40,23616,110,1600,5,4,85,1075,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
367,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12900,38,22865,110,1600,5,4,85,1075,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
368,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,10500,41,22780,86,1300,5,4,69,1035,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0
369,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,35,21904,97,1400,3,4,69,1025,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
370,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,21651,97,1400,3,4,69,1025,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
371,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,11450,37,21500,110,1600,5,4,69,1030,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
372,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13250,44,21027,110,1600,5,4,85,1080,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
373,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10250,39,18500,110,1600,4,4,69,1030,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
374,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13995,35,18000,110,1600,5,4,85,1075,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1
375,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11950,40,17051,97,1400,5,4,85,1060,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
376,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,13250,33,16512,97,1400,5,4,19,1085,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
377,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,16325,110,1600,5,4,85,1080,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
378,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11750,38,16000,97,1400,5,4,85,1060,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
379,TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,11500,39,12000,110,1600,5,4,85,1075,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
380,TOYOTA Corolla 1.4 VVTI LB 4/5-Doors,13500,43,10000,97,1400,5,4,85,1060,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
381,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6500,53,216000,69,1900,3,4,185,1110,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
382,TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,6400,51,198167,69,1900,4,4,185,1095,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0
383,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,7000,53,176000,69,1900,3,4,185,1105,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
384,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,7750,54,174139,72,2000,4,4,185,1100,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
385,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,8900,45,174000,69,1900,5,4,185,1095,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
386,TOYOTA Corolla 1.6 VVTi Linea terra 2/3-Doors,8500,55,150000,110,1600,3,4,72,1075,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
387,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8950,54,149329,72,2000,5,4,185,1135,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
388,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9900,51,146736,110,1600,5,4,85,1080,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
389,TOYOTA Corolla 1.9 D LIFTB LUNA 4/5-Doors,10250,53,143513,69,1900,5,4,185,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9250,48,142130,110,1600,5,4,197,1119,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
391,TOYOTA Corolla 1.9 D WGN LINEA TERRA Stationwagen,7750,48,140700,69,1900,5,4,64,1110,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
392,TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,9450,54,138394,69,1900,4,4,185,1095,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0
393,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,7750,55,137000,72,2000,5,4,185,1135,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0
394,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,8250,52,135258,69,1900,5,4,185,1140,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
395,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9950,49,131364,110,1600,5,4,85,1075,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
396,TOYOTA Corolla 1.8D Stationwagen,4450,56,129155,69,1800,5,4,64,1110,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
397,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,9950,50,126110,110,1600,3,4,85,1055,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0
398,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9000,48,119742,110,1600,5,4,85,1080,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
399,TOYOTA Corolla 1.9 D LB LINEA SOL 4/5-Doors,9950,53,117913,69,1900,5,4,64,1110,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0
400,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,12450,47,117430,90,2000,3,4,210,1165,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
401,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10500,55,117175,110,1600,4,4,69,1035,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
402,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10750,54,115558,110,1600,4,4,69,1035,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1
403,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,115113,97,1400,3,4,69,1025,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
404,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,10500,54,115046,69,1900,5,4,185,1140,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0
405,TOYOTA Corolla 2.0D 4/5-Doors,5150,56,113997,72,2000,5,4,64,1135,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
406,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,49,107859,97,1400,5,4,85,1060,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
407,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9450,52,104805,97,1400,3,4,69,1025,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
408,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,54,103454,110,1600,5,4,85,1075,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0
409,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,10950,51,103018,69,1900,5,4,185,1140,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
410,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,47,102352,110,1600,5,4,85,1080,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
411,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,50,102030,97,1400,5,4,85,1060,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
412,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,101352,110,1600,5,4,85,1080,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
413,TOYOTA Corolla 1.6 16v TERRA 4/5-Doors,7900,50,99865,110,1600,4,4,69,1035,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
414,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10950,52,99323,110,1600,3,4,85,1055,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
415,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,8950,48,98100,69,1900,5,4,185,1140,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
416,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11950,51,98040,110,1600,5,4,85,1080,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
417,TOYOTA Corolla 1.6 HB SOL 2/3-Doors,10900,49,97600,110,1600,3,4,69,1045,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
418,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9950,55,97234,110,1600,5,4,85,1080,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
419,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,9950,51,96135,72,2000,3,4,185,1115,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
420,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,96100,110,1600,5,4,85,1080,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
421,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8950,55,94401,72,2000,3,4,185,1115,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
422,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8950,55,94122,86,1300,3,4,69,1015,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1
423,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10500,49,91340,110,1600,3,4,85,1055,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1
424,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,90200,97,1400,3,4,69,1025,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
425,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,9250,53,90097,69,1900,5,4,185,1140,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
426,TOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,11500,48,89049,97,1400,5,4,85,1060,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
427,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9750,52,89000,110,1600,5,4,85,1075,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
428,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9950,45,87274,110,1600,3,4,69,1040,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
429,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11450,49,86221,110,1600,3,4,69,1045,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
430,TOYOTA Corolla 1.6 VVT-i L. Sol Wagon Stationwagen,12500,54,84598,110,1600,5,4,19,1075,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
431,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,83567,110,1600,5,4,85,1075,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
432,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,50,83106,110,1600,5,4,85,1075,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
433,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12200,50,82805,110,1600,3,4,69,1040,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
434,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,10950,50,82735,97,1400,3,4,69,1030,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
435,TOYOTA Corolla 1.6 LB LINEA SOL 4/5-Doors,10950,54,81905,110,1600,5,4,19,1105,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0
436,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11290,49,80320,110,1600,3,4,85,1070,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
437,TOYOTA Corolla 1.4 VVT-i Linea Sol HB 2/3-Doors,10750,49,80090,97,1400,3,4,69,1030,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
438,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10895,53,79800,110,1600,5,4,85,1075,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
439,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11500,47,78785,110,1600,5,4,197,1119,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
440,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9750,48,78600,110,1600,5,4,85,1075,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0
441,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10250,55,77780,110,1600,3,4,69,1040,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
442,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12500,49,77648,110,1600,4,4,69,1030,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
443,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,77270,110,1600,4,4,69,1035,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
444,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10750,50,76167,97,1400,5,4,85,1060,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
445,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11450,46,75249,110,1600,4,4,69,1035,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
446,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,75231,110,1600,5,4,85,1080,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
447,TOYOTA Corolla 1.6 G6 HB 2/3-Doors,11750,48,75045,110,1600,3,4,85,1055,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
448,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,10950,50,74849,110,1600,4,4,85,1060,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
449,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,55,74715,110,1600,5,4,85,1080,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
450,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,10995,49,74656,69,1900,3,4,185,1105,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
451,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,56,74500,97,1400,3,4,69,1025,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
452,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,8900,49,74494,110,1600,5,4,85,1075,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
453,TOYOTA Corolla 1.6 4/5-Doors,10500,50,73634,110,1587,5,4,85,1075,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
454,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,47,73403,110,1600,5,4,85,1075,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
455,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11450,49,73175,97,1400,3,4,69,1030,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
456,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12000,52,73000,110,1600,3,4,85,1055,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0
457,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,50,72242,110,1600,3,4,85,1070,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
458,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9850,53,72000,97,1400,3,4,69,1025,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
459,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10950,54,71725,110,1600,4,4,69,1035,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
460,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,71276,110,1600,5,4,85,1080,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
461,TOYOTA Corolla 1.9 D Linea Terra 2/3-Doors,8695,50,70440,69,1900,3,4,185,1105,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0
462,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10990,53,70239,110,1600,3,4,69,1040,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
463,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9500,55,69813,97,1400,3,4,69,1025,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
464,TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,11950,49,69659,86,1300,3,4,69,1025,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
465,TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,10750,46,69574,97,1400,5,4,85,1065,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
466,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,8750,47,69000,69,1900,5,4,185,1140,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
467,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,8750,49,68565,110,1600,4,4,69,1030,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
468,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,11450,55,68520,72,2000,3,4,185,1115,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
469,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,46,68414,97,1400,3,4,69,1025,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
470,TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,11950,56,66777,110,1600,5,4,85,1090,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
471,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,13950,52,66527,110,1600,5,4,85,1080,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
472,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11250,54,66063,110,1600,5,4,85,1090,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0
473,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10900,50,65471,97,1400,5,4,85,1060,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
474,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9750,56,65400,97,1400,3,4,69,1025,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
475,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,52,65170,97,1400,3,4,69,1025,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
476,TOYOTA Corolla 1.6 sol lb 4/5-Doors,11950,56,65000,110,1600,5,4,19,1075,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10450,48,64193,110,1600,3,4,69,1040,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
478,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,54,64000,97,1400,3,4,69,1025,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
479,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10250,54,63792,110,1600,5,4,85,1075,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0
480,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,9930,53,63635,110,1600,4,4,69,1035,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0
481,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,54,63135,110,1600,3,4,69,1050,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1
482,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,11950,54,63123,110,1600,4,4,69,1035,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
483,TOYOTA Corolla 1.9 D Wagon Stationwagen,11500,48,63000,69,1900,5,4,185,1140,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
484,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,11500,55,63000,110,1600,4,4,69,1035,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
485,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,54,62987,110,1600,5,4,85,1080,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
486,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9900,56,62751,110,1600,3,4,69,1050,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
487,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9500,54,62519,97,1400,3,4,69,1025,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
488,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,62280,97,1400,5,4,85,1060,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
489,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10750,50,61672,110,1600,5,4,85,1075,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
490,TOYOTA Corolla LIFTBACK 1.9 D Linea Terra 4/5-Doors,8950,54,61000,69,2000,5,4,185,1140,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
491,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,12000,56,61000,110,1600,3,4,69,1050,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
492,TOYOTA Corolla ! 1.6-16v vvt-i sol airco sedan 4/5-Doors,9940,53,60558,110,1600,4,4,19,1105,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
493,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10950,47,60348,110,1600,4,4,69,1030,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
494,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10750,54,60239,110,1600,5,4,85,1075,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
495,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,9799,51,59000,97,1400,3,4,69,1025,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
496,TOYOTA Corolla 1.4 VVT-i Linea Luna liftback 4/5-Doors,11750,51,58761,97,1300,5,4,85,1060,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1
497,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,58745,110,1600,4,4,69,1035,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
498,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11250,52,58596,110,1600,3,4,69,1045,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
499,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,11750,54,58530,110,1600,5,4,85,1075,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0
500,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,10950,55,58377,110,1600,3,4,69,1050,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0
501,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11250,56,58142,110,1600,5,4,85,1080,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
